model,temperature,method,tree_budget,speedup,accepted_length
Qwen3-4B,0.0,EAGLE-3,16,2.06,3.07
Qwen3-4B,0.0,DFlash,16,4.58,6.54
Qwen3-4B,0.0,DDTree,16,4.81,7.31
Qwen3-4B,0.0,ReTree,16,5.06,7.86
Qwen3-8B,0.0,EAGLE-3,16,2.01,3.03
Qwen3-8B,0.0,DFlash,16,4.53,6.49
Qwen3-8B,0.0,DDTree,16,4.63,7.30
Qwen3-8B,0.0,ReTree,16,4.82,7.77
Qwen3-4B,1.0,EAGLE-3,16,1.97,2.97
Qwen3-4B,1.0,DFlash,16,3.94,5.69
Qwen3-4B,1.0,DDTree,16,4.33,6.60
Qwen3-4B,1.0,ReTree,16,4.72,7.38
Qwen3-8B,1.0,EAGLE-3,16,1.98,2.99
Qwen3-8B,1.0,DFlash,16,3.74,5.48
Qwen3-8B,1.0,DDTree,16,4.05,6.42
Qwen3-8B,1.0,ReTree,16,4.41,7.13
